01,00,90720,016,00000,"S","CONTRACT DATA SHEET","06-30-2009",0.00
01,00,90720,021,00000,"S","EARTHWORK","06-30-2009",7229696.00
01,00,90720,021,00100,"S","PAVING, STRIPING & SIGNAGE","06-30-2009",1579500.00
01,00,90720,022,00810,"S","TERMITE CONTROL","06-30-2009",21700.00
01,00,90720,024,00440,"S","PERMANENT & TEMPORARY FENCING","06-30-2009",151248.00
01,00,90720,024,00570,"S","BIKE RACKS","06-30-2009",-130.00
01,00,90720,024,00700,"S","SITE FURNISHINGS","06-30-2009",11430.00
01,00,90720,024,00750,"S","TRASH RECEPTACLES","06-30-2009",0.00
01,00,90720,024,00760,"M","CART CORRALS","06-30-2009",10634.00
01,00,90720,024,00800,"S","LANDSCAPING & PLANTING","06-30-2009",454000.00
01,00,90720,030,00000,"S","CONCRETE","06-30-2009",2330876.00
01,00,90720,030,00145,"S","CONCRETE CURBS & GUTTERS","06-30-2009",626475.00
01,00,90720,030,00700,"S","SPECIAL CONCRETE FLOOR FINISH","06-30-2009",119835.00
01,00,90720,037,00000,"S","ARCHITECTURAL PRECAST CONCRETE","06-30-2009",1415405.00
01,00,90720,037,00100,"S","PRECAST CONCRETE BOLLARDS","06-30-2009",21000.00
01,00,90720,040,00000,"S","UNIT MASONRY ASSEMBLIES","06-30-2009",1728375.00
01,00,90720,051,00000,"S","STRUCTURAL STEEL","06-30-2009",2190000.00
01,00,90720,051,00100,"S","STRUCTURAL STEEL - ERECT","06-30-2009",523528.00
01,00,90720,055,00320,"M","EXPANSION JOINTS","06-30-2009",4955.00
01,00,90720,055,00400,"M","HUNG PARTITION BRACING","06-30-2009",85403.36
01,00,90720,061,00101,"L","ROOF & PARAPET BLOCKING - 2X6","06-30-2009",5107.25,,"BF",0.00
01,00,90720,061,00101,"M","ROOF & PARAPET BLOCKING - 2X6","06-30-2009",3059.30
01,00,90720,061,00105,"L","ROOF & PARAPET BLOCKING - 2X10 (Comm)","06-30-2009",1440.18,,"BF",0.00
01,00,90720,061,00105,"M","ROOF & PARAPET BLOCKING - 2X10 (Comm)","06-30-2009",359.94
01,00,90720,061,00110,"L","ROOF & PARAPET BLOCKING - 4X4","06-30-2009",5045.48,,"BF",0.00
01,00,90720,061,00110,"M","ROOF & PARAPET BLOCKING - 4X4","06-30-2009",2992.59
01,00,90720,061,00125,"L","STOREFRONT BLOCKING - 2X6","06-30-2009",183.40,,"BF",0.00
01,00,90720,061,00125,"M","STOREFRONT BLOCKING - 2X6","06-30-2009",704.32
01,00,90720,061,00130,"L","FREEZER FLOOR BLOCKING - 2X8 (Comm)","06-30-2009",496.00,,"BF",0.00
01,00,90720,061,00130,"M","FREEZER FLOOR BLOCKING - 2X8 (Comm)","06-30-2009",541.03
01,00,90720,061,00135,"L","CASEWORK BLOCKING - 2X6","06-30-2009",1170.00,,"BF",0.00
01,00,90720,061,00135,"M","CASEWORK BLOCKING - 2X6","06-30-2009",842.10
01,00,90720,061,00140,"M","SLATWALL BLOCKING - 2X4 (Exchange)","06-30-2009",693.00
01,00,90720,061,00150,"L","TOILET ACCESS. BLOCKING - 2X6","06-30-2009",3152.73,,"BF",0.00
01,00,90720,061,00150,"M","TOILET ACCESS. BLOCKING - 2X6","06-30-2009",378.00
